p,instanceCount
http://dbpedia.org/property/establishedDate,60214
http://dbpedia.org/ontology/spouse,59523
http://dbpedia.org/property/place,59424
http://dbpedia.org/property/products,59334
http://dbpedia.org/property/record,58773
http://dbpedia.org/property/county,58416
http://www.w3.org/2002/07/owl#sameAs,57676
http://dbpedia.org/ontology/commander,57039
http://dbpedia.org/property/clubnumber,57036
http://dbpedia.org/property/dates,57019
http://dbpedia.org/property/locmapin,56778
http://dbpedia.org/property/popularVote,56651
http://dbpedia.org/ontology/industry,56405
http://dbpedia.org/ontology/imdbId,55946
http://dbpedia.org/ontology/distributor,54600
http://dbpedia.org/property/founder,54410
http://dbpedia.org/property/heightIn,54253
http://dbpedia.org/ontology/author,54231
http://dbpedia.org/property/nextseason,54195
http://dbpedia.org/ontology/nrhpReferenceNumber,53655
http://dbpedia.org/ontology/academicDiscipline,53565
http://dbpedia.org/property/totalType,53454
http://dbpedia.org/property/workplaces,53381
http://dbpedia.org/property/prevseason,53239
http://dbpedia.org/property/mayor,53182
http://dbpedia.org/ontology/musicComposer,52881
http://dbpedia.org/property/heightFt,52737
http://dbpedia.org/property/class,52718
http://dbpedia.org/property/instrument,52534
http://dbpedia.org/ontology/league,52473
http://dbpedia.org/property/hb,52337
http://dbpedia.org/ontology/motto,52258
http://dbpedia.org/property/description,52186
http://dbpedia.org/ontology/openingYear,52182
http://dbpedia.org/property/residence,52005
http://dbpedia.org/property/added,51441
http://www.w3.org/2000/01/rdf-schema#subPropertyOf,51155
http://dbpedia.org/ontology/militaryCommand,51055
http://dbpedia.org/property/commonscat,50549
http://dbpedia.org/property/foundation,50462
http://dbpedia.org/ontology/product,50298
http://dbpedia.org/property/branch,49685
http://dbpedia.org/property/opened,49666
http://dbpedia.org/property/patternLa,49462
http://dbpedia.org/property/patternRa,49356
http://dbpedia.org/property/commands,49303
http://dbpedia.org/property/background,49149
http://dbpedia.org/property/relatives,49042
http://dbpedia.org/property/motto,48854
http://dbpedia.org/ontology/militaryBranch,48579
http://dbpedia.org/property/leader,48573
http://dbpedia.org/property/honorificPrefix,48421
http://dbpedia.org/property/matches,48324
http://dbpedia.org/property/areaTotalSqMi,48267
http://dbpedia.org/ontology/computingPlatform,48104
http://dbpedia.org/property/parents,48073
http://dbpedia.org/property/president,48046
http://dbpedia.org/ontology/child,47891
http://dbpedia.org/property/headline,47890
http://dbpedia.org/ontology/locatedInArea,47624
http://dbpedia.org/property/architect,47353
http://dbpedia.org/property/built,47192
http://dbpedia.org/property/age,46729
http://dbpedia.org/property/q,46674
http://dbpedia.org/property/areaLandKm,46321
http://dbpedia.org/property/line,46240
http://dbpedia.org/ontology/yearOfConstruction,46133
http://dbpedia.org/property/architecture,46095
http://dbpedia.org/property/series,46078
http://dbpedia.org/ontology/residence,46052
http://dbpedia.org/property/blank1Name,46048
http://dbpedia.org/property/areaKm,45848
http://dbpedia.org/ontology/stateOfOrigin,45691
http://dbpedia.org/property/text,45674
http://dbpedia.org/property/bot,45623
http://dbpedia.org/ontology/manufacturer,45617
http://dbpedia.org/property/populationDensitySqMi,45565
http://dbpedia.org/property/clubUpdate,45549
http://dbpedia.org/property/displayParents,45203
http://dbpedia.org/property/teams,45086
http://dbpedia.org/property/areaLandSqMi,45058
http://dbpedia.org/property/mapType,44977
http://dbpedia.org/property/areaWaterSqMi,44893
http://dbpedia.org/property/network,44482
http://dbpedia.org/property/pushpinMapsize,44380
http://dbpedia.org/property/highSchool,44123
http://dbpedia.org/property/_,44029
http://dbpedia.org/ontology/time,43967
http://dbpedia.org/property/align,43957
http://dbpedia.org/property/issue,43854
http://dbpedia.org/property/previous,43824
http://dbpedia.org/property/data,43808
http://dbpedia.org/property/n,43753
http://dbpedia.org/ontology/parent,43681
http://dbpedia.org/property/portal,43663
http://dbpedia.org/property/statlabel,43220
http://dbpedia.org/ontology/ground,43040
http://dbpedia.org/property/subdivisionRanks,42869
http://dbpedia.org/property/style,42778
http://dbpedia.org/property/developer,42236
http://dbpedia.org/property/order,42190
http://www.w3.org/2004/02/skos/core#related,42016
http://dbpedia.org/property/reference,41819
http://dbpedia.org/ontology/status,41743
http://dbpedia.org/ontology/institution,41727
http://dbpedia.org/property/coachYears,41721
http://dbpedia.org/property/r,41707
http://dbpedia.org/property/unrankedSuperfamilia,41603
http://dbpedia.org/property/areaWaterKm,41308
http://dbpedia.org/ontology/PopulatedPlace/area,41166
http://dbpedia.org/property/blank1Info,41136
http://dbpedia.org/property/terminusB,41067
http://dbpedia.org/property/manufacturer,40934
http://dbpedia.org/property/terminusA,40762
http://dbpedia.org/ontology/artist,40650
http://dbpedia.org/property/pcupdate,40557
http://dbpedia.org/property/field,40349
http://dbpedia.org/property/demographicsType,40285
http://dbpedia.org/property/homepage,40211
http://dbpedia.org/property/rd4Seed,40077
http://dbpedia.org/property/population,39981
http://dbpedia.org/ontology/primeMinister,39938
http://dbpedia.org/ontology/president,39926
http://dbpedia.org/property/casualties,39847
http://dbpedia.org/ontology/foundingDate,39844
http://dbpedia.org/property/statvalue,39541
http://dbpedia.org/ontology/maximumElevation,39441
http://dbpedia.org/property/canton,39104
http://dbpedia.org/ontology/combatant,39084
http://dbpedia.org/property/pushpinLabel,39040
http://dbpedia.org/property/fam,38978
http://dbpedia.org/property/coachTeam,38647
http://dbpedia.org/property/t,38582
http://dbpedia.org/ontology/minimumElevation,38492
http://dbpedia.org/property/playedFor,38370
http://dbpedia.org/ontology/restingPlace,38197
http://dbpedia.org/property/ribbon,38058
http://dbpedia.org/property/insee,37903
http://dbpedia.org/ontology/state,37861
http://dbpedia.org/property/scorea,37833
http://dbpedia.org/property/scoreb,37728
http://dbpedia.org/property/elevationMaxM,37650
http://dbpedia.org/ontology/architecturalStyle,37635
http://dbpedia.org/property/race,37559
http://dbpedia.org/property/designer,37308
http://dbpedia.org/property/coach,37179
http://dbpedia.org/property/ground,37138
http://dbpedia.org/property/elevationMinM,37109
http://dbpedia.org/ontology/strength,37079
http://dbpedia.org/property/populationBlank1Title,37035
http://dbpedia.org/property/umpires,37018
http://dbpedia.org/property/constituency,37009
http://dbpedia.org/property/translittitle,37002
http://dbpedia.org/property/arrondissement,36988
http://dbpedia.org/ontology/openingDate,36880
http://dbpedia.org/property/serviceyears,36782
http://dbpedia.org/property/format,36768
http://dbpedia.org/property/confstanding,36727
http://dbpedia.org/property/company,36575
http://dbpedia.org/ontology/cinematography,36466
http://dbpedia.org/ontology/inseeCode,36375
http://dbpedia.org/property/areaCodeType,36322
http://dbpedia.org/property/headCoach,36113
http://dbpedia.org/property/executiveProducer,35928
http://dbpedia.org/property/lyrics,35866
http://dbpedia.org/property/end,35682
http://dbpedia.org/property/related,35680
http://dbpedia.org/property/logoSize,35485
http://dbpedia.org/property/frequency,35448
http://dbpedia.org/property/cup,35421
http://dbpedia.org/property/profession,35389
http://dbpedia.org/ontology/alternativeName,35346
http://dbpedia.org/property/lengthMi,35176
http://dbpedia.org/property/start,34985
http://dbpedia.org/ontology/network,34688
http://dbpedia.org/property/c,34687
http://dbpedia.org/property/fixAttempted,34671
